NCCBANK,15.40,Bank,A,1.91,2.74,2.38,22.15,2020
NCCBLMF1,8.70,Mutual Funds,A,0.72,0.91,1.12,11.81,2020
NEWLINE,38.60,Textile,A,2.43,2.2,1.14,23.83,2020
NFML,21.30,Miscellaneous,B,1.9,0.12,0.17,12.76,2020
NHFIL,56.60,Financial Institutions,A,1.5,2.81,2.75,17.91,2020
NITOLINS,59.20,Insurance,A,1.0,2.73,2.84,27.23,2020
NLI1STMF,14.10,Mutual Funds,A,1.75,0.96,3.14,15.32,2021
NORTHERN,270.40,Jute,A,0.5,-,11.33,81.66,2020
NORTHRNINS,51.70,Insurance,A,1.0,1.85,1.73,20.24,2020
NPOLYMER,54.30,Engineering,A,1.0,2.24,2.82,30.49,2021
NRBCBANK,27.00,Bank,A,2.1,2.96,1.96,14.0,2020
NTC,738.90,Food & Allied,A,1.0,13.7, n/a ,84.27,2021
NTLTUBES,91.20,Engineering,B,0.2,-,0.06,153.12,2021
NURANI,7.60,Textile,A,0.76,-, n/a ,11.23,2020
OAL,12.70,Engineering,B,0.1,-, n/a ,13.64,2021
OIMEX,18.80,Engineering,A,-,-,0.08,13.38,2021
OLYMPIC,163.90,Food & Allied,A,5.4,8.23,10.18,46.21,2021
ONEBANKLTD,13.70,Bank,A,1.35,2.92,1.57,19.31,2020
ORIONINFU,105.40,Pharmaceuticals & Chemicals,A,1.0,2.88,1.37,13.1,2021
ORIONPHARM,102.80,Pharmaceuticals & Chemicals,A,1.2,1.2,4.01,79.76,2021
PADMALIFE,49.80,Insurance,B,-,-,-,-,2020
PADMAOIL,-,Fuel & Power,A,12.5,9.7,8.02,157.64,2020
PAPERPROC,260.70,Paper & Printing,Z,1.0,3.16,1.34,27.97,2021
PARAMOUNT,72.50,Insurance,A,14.5,4.11,5.38,26.62,2020
PDL,12.60,Textile,B,1.26,0.4,0.54,14.65,2020
PENINSULA,44.00,Travel & Leisure,A,1.0,1.24,0.41,30.28,2021
PEOPLESINS,57.60,Insurance,A,1.1,2.71,2.26,28.6,2020
PF1STMF,8.70,Mutual Funds,A,0.6,1.2,0.32,9.68,2021
PHARMAID,791.00,Pharmaceuticals & Chemicals,A,5.0,20.6,16.11,93.26,2021
PHENIXINS,54.90,Insurance,A,1.5,2.75,2.33,39.1,2020
PHOENIXFIN,24.50,Financial Institutions,A,2.94,0.97,1.36,22.01,2020
PHPMF1,5.60,Mutual Funds,A,0.85,0.6,2.04,11.85,2021
PIONEERINS,110.10,Insurance,A,13.01,7.95,7.61,49.75,2020
PLFSL,-,Financial Institutions,Z,-,-,30,10.9,2017
POPULAR1MF,5.60,Mutual Funds,A,0.85,0.76,2.08,11.85,2021
POPULARLIF,87.70,Insurance,A,4.0,-,3.77,108.9,2020
POWERGRID,70.50,Fuel & Power,A,2.0,7.28,4.45,110.39,2020
PRAGATIINS,87.90,Insurance,A,3.0,6.31,4.07,53.51,2020
PRAGATILIF,97.80,Insurance,A,1.2,-,-,-,2020
PREMIERBAN,15.00,Bank,A,2.38,2.98,2.13,21.02,2020
PREMIERCEM,65.80,Cement,A,2.0,0.48,6.18,79.83,2021
PREMIERLEA,7.90,Financial Institutions,B,-,-, n/a ,16.03,2020
PRIME1ICBA,7.60,Mutual Funds,A,0.75,1.76,0.47,10.15,2021
PRIMEBANK,21.50,Bank,A,1.5,3.01,1.6,25.15,2020
PRIMEFIN,15.60,Financial Institutions,B,-,0.39,0.14,11.76,2020
PRIMEINSUR,79.20,Insurance,A,1.0,2.69,1.31,17.62,2020
PRIMELIFE,80.50,Insurance,A,-,-,-,-,2020
PRIMETEX,23.70,Textile,B,0.2,0.56,0.62,67.93,2021
PROGRESLIF,106.30,Insurance,A,10.63,-,-,-,2019
PROVATIINS,119.50,Insurance,A,20.32,3.92,3.1,21.11,2020
PTL,103.90,Textile,A,7.2,6.12,4.27,27.24,2021
PUBALIBANK,27.50,Bank,A,1.25,6.03,3.6,37.63,2020
PURABIGEN,38.00,Insurance,A,2.4,1.43,1.16,13.09,2020
QUASEMIND,50.00,Engineering,A,3.0,0.44,0.7,31.01,2020
QUEENSOUTH,25.60,Textile,A,2.85,1.4,0.96,16.64,2020
RAHIMAFOOD,343.40,Food & Allied,B,0.1,0.16,0.07,9.29,2021
RAHIMTEXT,275.00,Textile,A,1.6,2.16,2.29,37.99,2021
RAKCERAMIC,53.40,Ceramics Sector,A,1.0,1.96,0.73,16.41,2020
RANFOUNDRY,213.90,Engineering,A,2.3,4.56,3.68,29.11,2021
RDFOOD,60.20,Food & Allied,B,2.11,1.64,0.64,14.65,2021
RECKITTBEN,5786.00,Pharmaceuticals & Chemicals,A,140.0,139.69,155.75,170.95,2020
REGENTTEX,10.30,Textile,B,-,-, n/a ,26.52,2021
RELIANCE1,11.70,Mutual Funds,A,1.05,1.24,1.06,14.76,2021
RELIANCINS,84.60,Insurance,A,2.5,6.38,5.21,60.73,2020
RENATA,1312.00,Pharmaceuticals & Chemicals,A,145.7,56.77,51.94,263.85,2021
RENWICKJA,1054.70,Engineering,A,-,-, n/a ,-23.25,2021
REPUBLIC,48.60,Insurance,A,4.1,2.48,2.36,16.18,2020
RINGSHINE,10.50,Textile,A,1.57,0.29,1.72,24.88,2019
RNSPIN,6.90,Textile,Z,-,-, n/a ,0.15,2021
ROBI,39.20,Telecommunication,N,-,0.43,0.33,13.9,2020
RSRMSTEEL,24.50,Engineering,A,-,-, n/a ,44.94,2021
RUNNERAUTO,54.30,Engineering,A,1.0,2.12,2.7,65.16,2021
RUPALIBANK,33.30,Bank,A,3.33,0.49,0.49,44.1,2020
RUPALIINS,42.90,Insurance,A,1.0,1.99,1.9,21.41,2020
RUPALILIFE,72.30,Insurance,A,2.75,-,-,-,2020
SAFKOSPINN,26.20,Textile,B,0.5,0.08,0.23,21.44,2021
SAIFPOWER,45.30,Services & Real Estate,A,2.77,2.08,1.14,16.63,2020
SAIHAMCOT,17.30,Textile,A,1.0,-,1.08,37.2,2021
SAIHAMTEX,22.80,Textile,A,1.0,1.16,1.11,42.91,2021
SALAMCRST,30.00,Engineering,A,1.0,0.76,0.55,19.01,2020
SALVOCHEM,51.10,Pharmaceuticals & Chemicals,B,0.2,2.2,0.34,12.69,2021
SAMATALETH,81.30,Tannery Industries,B,0.05,-,0.1,14.39,2021
SAMORITA,118.20,Services & Real Estate,A,1.0,4.32,2.23,51.46,2021
SANDHANINS,36.60,Insurance,A,1.2,-,1.41,18.15,2020
SAPORTL,27.40,Services & Real Estate,A,1.0,0.88,0.79,33.52,2021
SAVAREFR,193.90,Miscellaneous,Z,-,-, n/a ,6.28,2016
